participant,event_type,event_ts,event_ts_float,window_start,window_end,duration_sec,distance_px,start_x,start_y,end_x,end_y,delete_key,event_id
260808_WYX_W_AI,annotation,2026-08-08 13:55:20.630,1786168520.63,2026-08-08 13:55:10.630,2026-08-08 13:55:30.630,0.113,0.5,41.7,49.6,41.3,49.6,,1
260808_WYX_W_AI,annotation,2026-08-08 13:55:29.875,1786168529.875,2026-08-08 13:55:19.875,2026-08-08 13:55:39.875,0.106,0.5,386.9,1048.0,387.4,1048.2,,2
260808_WYX_W_AI,annotation,2026-08-08 14:01:11.169,1786168871.169,2026-08-08 14:01:01.169,2026-08-08 14:01:21.169,0.111,0.5,33.1,59.6,32.6,59.6,,3
260808_WYX_W_AI,annotation,2026-08-08 14:01:12.914,1786168872.914,2026-08-08 14:01:02.914,2026-08-08 14:01:22.914,0.105,1.6,342.2,293.6,343.8,293.6,,4
260808_WYX_W_AI,annotation,2026-08-08 14:01:15.497,1786168875.497,2026-08-08 14:01:05.497,2026-08-08 14:01:25.497,0.116,0.6,87.8,208.6,88.3,209.1,,5
260808_WYX_W_AI,annotation,2026-08-08 14:01:19.958,1786168879.958,2026-08-08 14:01:09.958,2026-08-08 14:01:29.958,0.103,1.0,403.2,166.0,402.5,166.7,,6
260808_WYX_W_AI,annotation,2026-08-08 14:01:21.734,1786168881.734,2026-08-08 14:01:11.734,2026-08-08 14:01:31.734,0.148,0.2,406.5,163.9,406.5,163.7,,7
260808_WYX_W_AI,annotation,2026-08-08 14:01:38.054,1786168898.054,2026-08-08 14:01:28.054,2026-08-08 14:01:48.054,0.104,0.2,831.1,834.5,831.3,834.5,,8
260808_WYX_W_AI,annotation,2026-08-08 14:01:42.197,1786168902.197,2026-08-08 14:01:32.197,2026-08-08 14:01:52.197,0.181,0.2,855.1,777.7,854.9,777.7,,9
260808_WYX_W_AI,annotation,2026-08-08 14:01:51.188,1786168911.188,2026-08-08 14:01:41.188,2026-08-08 14:02:01.188,0.105,0.9,892.7,857.8,892.7,858.7,,10
260808_WYX_W_AI,annotation,2026-08-08 14:01:56.356,1786168916.356,2026-08-08 14:01:46.356,2026-08-08 14:02:06.356,0.12,1.1,906.7,866.2,906.7,867.3,,11
260808_WYX_W_AI,annotation,2026-08-08 14:02:33.241,1786168953.241,2026-08-08 14:02:23.241,2026-08-08 14:02:43.241,0.142,0.3,1165.6,637.6,1165.8,637.4,,12
260808_WYX_W_AI,annotation,2026-08-08 14:04:03.969,1786169043.969,2026-08-08 14:03:53.969,2026-08-08 14:04:13.969,1.071,16.7,675.0,687.3,664.1,699.9,,13
260808_WYX_W_AI,annotation,2026-08-08 14:04:05.624,1786169045.624,2026-08-08 14:03:55.624,2026-08-08 14:04:15.624,1.322,42.0,652.3,680.8,693.5,672.6,,14
260808_WYX_W_AI,annotation,2026-08-08 14:04:09.623,1786169049.623,2026-08-08 14:03:59.623,2026-08-08 14:04:19.623,0.128,2.1,750.3,683.3,749.4,681.5,,15
260808_WYX_W_AI,annotation,2026-08-08 14:04:09.872,1786169049.872,2026-08-08 14:03:59.872,2026-08-08 14:04:19.872,1.474,121.4,741.9,668.6,708.2,785.2,,16
260808_WYX_W_AI,annotation,2026-08-08 14:04:12.316,1786169052.316,2026-08-08 14:04:02.316,2026-08-08 14:04:22.316,1.906,23.7,678.0,690.6,663.7,709.4,,17
260808_WYX_W_AI,annotation,2026-08-08 14:04:34.854,1786169074.854,2026-08-08 14:04:24.854,2026-08-08 14:04:44.854,0.106,0.8,893.8,822.6,893.4,821.8,,18
260808_WYX_W_AI,annotation,2026-08-08 14:05:03.482,1786169103.482,2026-08-08 14:04:53.482,2026-08-08 14:05:13.482,1.606,40.9,649.4,667.5,678.8,696.0,,19
260808_WYX_W_AI,annotation,2026-08-08 14:05:05.929,1786169105.929,2026-08-08 14:04:55.929,2026-08-08 14:05:15.929,0.125,0.2,690.5,609.3,690.5,609.5,,20
260808_WYX_W_AI,annotation,2026-08-08 14:06:20.395,1786169180.395,2026-08-08 14:06:10.395,2026-08-08 14:06:30.395,0.104,0.5,823.3,536.7,823.5,537.1,,21
260808_WYX_W_AI,annotation,2026-08-08 14:06:53.199,1786169213.199,2026-08-08 14:06:43.199,2026-08-08 14:07:03.199,0.105,0.2,955.3,765.1,955.3,765.3,,22
260808_WYX_W_AI,annotation,2026-08-08 14:07:26.343,1786169246.343,2026-08-08 14:07:16.343,2026-08-08 14:07:36.343,0.104,0.7,1341.1,623.4,1340.4,623.6,,23
260808_WYX_W_AI,annotation,2026-08-08 14:07:36.111,1786169256.111,2026-08-08 14:07:26.111,2026-08-08 14:07:46.111,0.274,16.1,960.2,322.5,946.9,313.4,,24
260808_WYX_W_AI,annotation,2026-08-08 14:07:37.960,1786169257.96,2026-08-08 14:07:27.960,2026-08-08 14:07:47.960,0.161,0.2,125.4,127.5,125.4,127.3,,25
260808_WYX_W_AI,annotation,2026-08-08 14:09:20.443,1786169360.443,2026-08-08 14:09:10.443,2026-08-08 14:09:30.443,1.35,31.3,856.2,524.2,880.4,544.1,,26
260808_WYX_W_AI,annotation,2026-08-08 14:09:22.662,1786169362.662,2026-08-08 14:09:12.662,2026-08-08 14:09:32.662,0.639,18.0,882.0,522.7,869.4,535.5,,27
260808_WYX_W_AI,annotation,2026-08-08 14:09:23.826,1786169363.826,2026-08-08 14:09:13.826,2026-08-08 14:09:33.826,0.449,34.8,856.6,520.1,883.6,542.0,,28
260808_WYX_W_AI,annotation,2026-08-08 14:09:25.747,1786169365.747,2026-08-08 14:09:15.747,2026-08-08 14:09:35.747,1.288,41.1,883.7,514.7,857.1,546.0,,29
260808_WYX_W_AI,annotation,2026-08-08 14:09:34.941,1786169374.941,2026-08-08 14:09:24.941,2026-08-08 14:09:44.941,0.103,0.5,972.3,563.1,972.5,562.6,,30
260808_WYX_W_AI,annotation,2026-08-08 14:10:02.803,1786169402.803,2026-08-08 14:09:52.803,2026-08-08 14:10:12.803,0.122,1.6,858.4,732.4,858.4,734.0,,31
260808_WYX_W_AI,annotation,2026-08-08 14:10:36.133,1786169436.133,2026-08-08 14:10:26.133,2026-08-08 14:10:46.133,0.12,0.2,918.3,709.4,918.3,709.7,,32
260808_WYX_W_AI,annotation,2026-08-08 14:12:38.242,1786169558.242,2026-08-08 14:12:28.242,2026-08-08 14:12:48.242,0.128,0.7,984.8,68.2,984.4,67.7,,33
260808_WYX_W_AI,annotation,2026-08-08 14:12:59.432,1786169579.432,2026-08-08 14:12:49.432,2026-08-08 14:13:09.432,0.987,15.6,753.0,591.6,767.0,598.4,,34
260808_WYX_W_AI,annotation,2026-08-08 14:13:00.683,1786169580.683,2026-08-08 14:12:50.683,2026-08-08 14:13:10.683,0.344,20.1,753.4,587.3,742.8,570.2,,35
260808_WYX_W_AI,annotation,2026-08-08 14:13:01.656,1786169581.656,2026-08-08 14:12:51.656,2026-08-08 14:13:11.656,1.638,34.7,752.0,583.8,772.5,611.7,,36
260808_WYX_W_AI,annotation,2026-08-08 14:13:03.869,1786169583.869,2026-08-08 14:12:53.869,2026-08-08 14:13:13.869,1.016,23.9,774.9,612.2,793.1,627.7,,37
260808_WYX_W_AI,annotation,2026-08-08 14:14:11.379,1786169651.379,2026-08-08 14:14:01.379,2026-08-08 14:14:21.379,1.117,1.5,879.4,589.5,877.9,589.5,,38
260808_WYX_W_AI,annotation,2026-08-08 14:14:13.005,1786169653.005,2026-08-08 14:14:03.005,2026-08-08 14:14:23.005,1.465,61.7,879.5,590.5,939.9,603.4,,39
260808_WYX_W_AI,annotation,2026-08-08 14:14:15.028,1786169655.028,2026-08-08 14:14:05.028,2026-08-08 14:14:25.028,0.672,2.1,931.0,605.4,933.0,604.6,,40
260808_WYX_W_AI,annotation,2026-08-08 14:14:16.069,1786169656.069,2026-08-08 14:14:06.069,2026-08-08 14:14:26.069,1.505,71.5,927.8,604.6,874.8,652.6,,41
260808_WYX_W_AI,annotation,2026-08-08 14:16:48.021,1786169808.021,2026-08-08 14:16:38.021,2026-08-08 14:16:58.021,1.392,26.5,863.1,606.9,879.4,627.8,,42
260808_WYX_W_AI,annotation,2026-08-08 14:18:25.330,1786169905.33,2026-08-08 14:18:15.330,2026-08-08 14:18:35.330,0.105,0.2,123.3,123.7,123.5,123.7,,43
260808_WYX_W_AI,annotation,2026-08-08 14:21:36.847,1786170096.847,2026-08-08 14:21:26.847,2026-08-08 14:21:46.847,1.573,27.3,994.5,601.2,974.0,583.1,,44
260808_WYX_W_AI,annotation,2026-08-08 14:21:47.018,1786170107.018,2026-08-08 14:21:37.018,2026-08-08 14:21:57.018,3.5,35.3,930.9,521.5,965.3,529.5,,45
260808_WYX_W_AI,annotation,2026-08-08 14:21:50.923,1786170110.923,2026-08-08 14:21:40.923,2026-08-08 14:22:00.923,0.813,6.2,969.1,532.4,969.1,526.2,,46
260808_WYX_W_AI,annotation,2026-08-08 14:22:00.455,1786170120.455,2026-08-08 14:21:50.455,2026-08-08 14:22:10.455,0.121,2.5,358.7,470.6,360.7,471.9,,47
260808_WYX_W_AI,annotation,2026-08-08 14:23:41.025,1786170221.025,2026-08-08 14:23:31.025,2026-08-08 14:23:51.025,0.12,0.2,122.9,123.2,123.1,123.2,,48
260808_WYX_W_AI,annotation,2026-08-08 14:26:19.741,1786170379.741,2026-08-08 14:26:09.741,2026-08-08 14:26:29.741,0.115,0.2,270.3,528.1,270.1,528.1,,49
260808_WYX_W_AI,annotation,2026-08-08 14:28:11.553,1786170491.553,2026-08-08 14:28:01.553,2026-08-08 14:28:21.553,0.11,0.6,1258.9,668.0,1259.4,667.6,,50
260808_WYX_W_AI,annotation,2026-08-08 14:40:49.756,1786171249.756,2026-08-08 14:40:39.756,2026-08-08 14:40:59.756,0.77,30.5,813.6,430.1,840.5,444.5,,51
260808_WYX_W_AI,annotation,2026-08-08 14:40:51.801,1786171251.801,2026-08-08 14:40:41.801,2026-08-08 14:41:01.801,0.685,34.1,820.1,422.3,835.3,452.9,,52
260808_WYX_W_AI,annotation,2026-08-08 14:40:54.357,1786171254.357,2026-08-08 14:40:44.357,2026-08-08 14:41:04.357,0.624,26.7,809.5,428.0,831.6,443.1,,53
260808_WYX_W_AI,annotation,2026-08-08 14:40:55.446,1786171255.446,2026-08-08 14:40:45.446,2026-08-08 14:41:05.446,0.555,15.5,835.6,445.2,841.0,459.8,,54
260808_WYX_W_AI,annotation,2026-08-08 14:40:56.571,1786171256.571,2026-08-08 14:40:46.571,2026-08-08 14:41:06.571,1.379,10.4,830.7,444.3,824.4,436.0,,55
260808_WYX_W_AI,annotation,2026-08-08 14:40:58.290,1786171258.29,2026-08-08 14:40:48.290,2026-08-08 14:41:08.290,0.838,11.4,832.2,448.0,841.5,454.6,,56
260808_WYX_W_AI,annotation,2026-08-08 14:41:36.479,1786171296.479,2026-08-08 14:41:26.479,2026-08-08 14:41:46.479,1.067,72.5,736.2,429.2,785.1,482.8,,57
260808_WYX_W_AI,annotation,2026-08-08 14:42:22.357,1786171342.357,2026-08-08 14:42:12.357,2026-08-08 14:42:32.357,2.108,93.7,1114.0,417.7,1020.8,427.3,,58
260808_WYX_W_AI,annotation,2026-08-08 14:42:35.969,1786171355.969,2026-08-08 14:42:25.969,2026-08-08 14:42:45.969,1.832,39.7,887.3,381.0,897.0,342.6,,59
260808_WYX_W_AI,annotation,2026-08-08 14:42:40.312,1786171360.312,2026-08-08 14:42:30.312,2026-08-08 14:42:50.312,1.087,75.7,910.6,363.9,986.1,359.0,,60
260808_WYX_W_AI,annotation,2026-08-08 14:44:09.172,1786171449.172,2026-08-08 14:43:59.172,2026-08-08 14:44:19.172,0.114,0.2,254.0,201.2,254.2,201.2,,61
260808_WYX_W_AI,annotation,2026-08-08 14:44:37.364,1786171477.364,2026-08-08 14:44:27.364,2026-08-08 14:44:47.364,0.114,0.7,909.8,61.8,909.3,61.3,,62
