order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
1,2026-08-08T18:26:43.614,1786184803.722,49.722,2026-08-08T18:30:45.959,1786185046.045,292.045,242.323,731.8,405.6,,,4
2,2026-08-08T18:30:45.959,1786185046.045,292.045,2026-08-08T18:32:34.972,1786185155.049,401.049,109.004,571.0,171.1,-234.5,242.32,2
3,2026-08-08T18:32:34.972,1786185155.049,401.049,2026-08-08T18:32:50.988,1786185171.2625,417.263,16.214,479.3,191.0,19.9,109.0,2
4,2026-08-08T18:32:50.988,1786185171.2625,417.263,2026-08-08T18:33:04.826,1786185184.912,430.912,13.649,388.4,206.4,15.4,16.21,3
5,2026-08-08T18:33:04.826,1786185184.912,430.912,2026-08-08T18:33:22.473,1786185202.552,448.552,17.64,378.0,224.9,18.5,13.65,2
6,2026-08-08T18:33:22.473,1786185202.552,448.552,2026-08-08T18:33:56.794,1786185236.879,482.879,34.327,288.7,238.0,13.1,17.64,2
7,2026-08-08T18:33:56.794,1786185236.879,482.879,2026-08-08T18:34:46.367,1786185286.454,532.454,49.575,309.7,256.0,18.0,34.33,2
8,2026-08-08T18:34:46.367,1786185286.454,532.454,2026-08-08T18:35:04.338,1786185304.4275,550.428,17.974,440.7,279.5,23.5,49.58,2
9,2026-08-08T18:35:04.338,1786185304.4275,550.428,2026-08-08T18:35:21.841,1786185321.9385,567.938,17.511,321.6,299.5,20.0,17.97,2
10,2026-08-08T18:35:21.841,1786185321.9385,567.938,2026-08-08T18:35:37.636,1786185337.723,583.723,15.785,328.6,317.3,17.8,17.51,2
11,2026-08-08T18:35:37.636,1786185337.723,583.723,2026-08-08T18:36:03.758,1786185363.8445,609.845,26.122,395.6,338.6,21.3,15.78,2
12,2026-08-08T18:36:03.758,1786185363.8445,609.845,2026-08-08T18:36:14.862,1786185374.9355,620.935,11.091,325.7,357.0,18.4,26.12,2
13,2026-08-08T18:36:14.862,1786185374.9355,620.935,2026-08-08T18:36:39.818,1786185399.923,645.923,24.988,380.5,369.7,12.7,11.09,2
14,2026-08-08T18:36:39.818,1786185399.923,645.923,2026-08-08T18:36:54.765,1786185414.852,660.852,14.929,430.2,397.6,27.9,24.99,2
15,2026-08-08T18:36:54.765,1786185414.852,660.852,2026-08-08T18:37:17.159,1786185437.2495,683.25,22.398,370.4,412.3,14.7,14.93,2
16,2026-08-08T18:37:17.159,1786185437.2495,683.25,2026-08-08T18:37:28.134,1786185448.2195,694.22,10.97,418.7,428.4,16.1,22.4,2
