order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
1,2026-08-08T14:01:21.734,1786168881.861,271.861,2026-08-08T14:02:26.084,1786168946.174,336.174,64.313,406.5,163.8,,,4
2,2026-08-08T14:02:26.084,1786168946.174,336.174,2026-08-08T14:03:30.277,1786169010.367,400.367,64.193,292.2,185.7,21.9,64.31,4
3,2026-08-08T14:03:30.277,1786169010.367,400.367,2026-08-08T14:05:09.821,1786169110.142,500.142,99.775,252.3,203.9,18.2,64.19,2
4,2026-08-08T14:05:09.821,1786169110.142,500.142,2026-08-08T14:05:45.249,1786169145.3355,535.336,35.194,256.4,224.7,20.8,99.77,3
5,2026-08-08T14:05:45.249,1786169145.3355,535.336,2026-08-08T14:06:32.291,1786169192.373,582.373,47.037,273.6,243.1,18.4,35.19,2
6,2026-08-08T14:06:32.291,1786169192.373,582.373,2026-08-08T14:07:39.955,1786169260.0415,650.042,67.669,265.8,263.2,20.2,47.04,2
7,2026-08-08T14:07:39.955,1786169260.0415,650.042,2026-08-08T14:08:42.140,1786169322.2255,712.226,62.184,320.7,281.1,17.9,67.67,2
8,2026-08-08T14:08:42.140,1786169322.2255,712.226,2026-08-08T14:10:23.698,1786169423.788,813.788,101.562,288.7,298.8,17.7,62.18,2
9,2026-08-08T14:10:23.698,1786169423.788,813.788,2026-08-08T14:11:45.231,1786169505.3395,895.339,81.551,290.8,315.7,16.9,101.56,2
10,2026-08-08T14:11:45.231,1786169505.3395,895.339,2026-08-08T14:13:15.780,1786169595.862,985.862,90.523,266.8,334.7,19.0,81.55,2
11,2026-08-08T14:13:15.780,1786169595.862,985.862,2026-08-08T14:15:47.786,1786169747.86,1137.86,151.998,270.5,352.6,17.9,90.52,2
12,2026-08-08T14:15:47.786,1786169747.86,1137.86,2026-08-08T14:17:08.651,1786169828.7365,1218.737,80.877,320.1,374.3,21.7,152.0,2
13,2026-08-08T14:17:08.651,1786169828.7365,1218.737,2026-08-08T14:18:27.468,1786169907.539,1297.539,78.803,305.3,393.7,19.4,80.88,2
14,2026-08-08T14:18:27.468,1786169907.539,1297.539,2026-08-08T14:19:50.794,1786169990.8765,1380.876,83.337,281.9,414.1,20.4,78.8,2
15,2026-08-08T14:19:50.794,1786169990.8765,1380.876,2026-08-08T14:21:08.113,1786170068.1955,1458.195,77.319,261.2,430.4,16.3,83.34,2
16,2026-08-08T14:21:08.113,1786170068.1955,1458.195,2026-08-08T14:23:42.901,1786170222.9945,1612.994,154.799,258.2,454.4,24.0,77.32,2
17,2026-08-08T14:23:42.901,1786170222.9945,1612.994,2026-08-08T14:25:21.084,1786170321.181,1711.181,98.187,270.7,488.4,34.0,154.8,2
18,2026-08-08T14:25:21.084,1786170321.181,1711.181,2026-08-08T14:26:20.401,1786170380.4915,1770.491,59.31,271.6,509.8,21.4,98.19,2
19,2026-08-08T14:26:20.401,1786170380.4915,1770.491,2026-08-08T14:39:00.537,1786171140.6135,2530.614,760.122,269.1,526.7,16.9,59.31,2
20,2026-08-08T14:39:00.537,1786171140.6135,2530.614,2026-08-08T14:41:55.974,1786171316.3025,2706.303,175.689,308.0,169.7,-357.0,760.12,2
21,2026-08-08T14:41:55.974,1786171316.3025,2706.303,2026-08-08T14:44:45.021,1786171485.348,2875.348,169.046,258.0,187.9,18.2,175.69,3
22,2026-08-08T14:44:45.021,1786171485.348,2875.348,2026-08-08T14:46:24.000,1786171584.078,2974.078,98.73,258.7,206.0,18.1,169.05,3
23,2026-08-08T14:46:24.000,1786171584.078,2974.078,2026-08-08T14:48:04.456,1786171684.5345,3074.534,100.456,325.1,227.1,21.1,98.73,4
24,2026-08-08T14:48:04.456,1786171684.5345,3074.534,2026-08-08T14:49:27.294,1786171767.376,3157.376,82.842,254.4,242.1,15.0,100.46,2
25,2026-08-08T14:49:27.294,1786171767.376,3157.376,2026-08-08T14:50:21.804,1786171821.898,3211.898,54.522,266.4,261.6,19.5,82.84,2
26,2026-08-08T14:50:21.804,1786171821.898,3211.898,2026-08-08T14:52:38.034,1786171958.121,3348.121,136.223,268.9,278.4,16.8,54.52,2
27,2026-08-08T14:52:38.034,1786171958.121,3348.121,2026-08-08T14:54:05.619,1786172045.9455,3435.945,87.824,260.3,297.4,19.0,136.22,2
28,2026-08-08T14:54:05.619,1786172045.9455,3435.945,2026-08-08T14:56:19.887,1786172179.984,3569.984,134.039,251.0,314.2,16.8,87.82,3
29,2026-08-08T14:56:19.887,1786172179.984,3569.984,2026-08-08T14:57:39.019,1786172259.105,3649.105,79.121,263.7,336.3,22.1,134.04,2
30,2026-08-08T14:57:39.019,1786172259.105,3649.105,2026-08-08T14:58:50.457,1786172330.531,3720.531,71.426,254.8,354.1,17.8,79.12,2
31,2026-08-08T14:58:50.457,1786172330.531,3720.531,2026-08-08T15:00:17.237,1786172417.5675,3807.568,87.037,306.4,372.9,18.8,71.43,2
32,2026-08-08T15:00:17.237,1786172417.5675,3807.568,2026-08-08T15:01:31.494,1786172491.573,3881.573,74.005,260.9,394.9,22.0,87.04,3
33,2026-08-08T15:01:31.494,1786172491.573,3881.573,2026-08-08T15:03:01.285,1786172581.364,3971.364,89.791,291.9,412.3,17.4,74.01,2
34,2026-08-08T15:03:01.285,1786172581.364,3971.364,2026-08-08T15:04:11.702,1786172651.7775,4041.777,70.413,265.8,432.4,20.1,89.79,2
35,2026-08-08T15:04:11.702,1786172651.7775,4041.777,2026-08-08T15:06:40.721,1786172801.042,4191.042,149.265,241.8,450.5,18.1,70.41,2
36,2026-08-08T15:06:40.721,1786172801.042,4191.042,2026-08-08T15:08:13.887,1786172894.066,4284.066,93.024,258.4,473.1,22.6,149.26,3
37,2026-08-08T15:08:13.887,1786172894.066,4284.066,2026-08-08T15:09:24.864,1786172964.9625,4354.963,70.897,261.6,492.3,19.2,93.02,3
38,2026-08-08T15:09:24.864,1786172964.9625,4354.963,2026-08-08T15:10:36.242,1786173036.3245,4426.325,71.362,271.9,506.8,14.5,70.9,2
39,2026-08-08T15:10:36.242,1786173036.3245,4426.325,2026-08-08T15:25:21.968,1786173922.2955,5312.296,885.971,307.2,528.8,22.0,71.36,2
40,2026-08-08T15:25:21.968,1786173922.2955,5312.296,2026-08-08T15:29:38.499,1786174178.5885,5568.589,256.293,270.6,164.8,-364.0,885.97,3
41,2026-08-08T15:29:38.499,1786174178.5885,5568.589,2026-08-08T15:32:58.200,1786174378.279,5768.279,199.691,248.0,189.1,24.3,256.29,2
42,2026-08-08T15:32:58.200,1786174378.279,5768.279,2026-08-08T15:36:47.369,1786174607.451,5997.451,229.172,261.2,205.4,16.3,199.69,2
43,2026-08-08T15:36:47.369,1786174607.451,5997.451,2026-08-08T15:39:21.695,1786174761.7815,6151.782,154.331,275.3,219.4,14.0,229.17,2
44,2026-08-08T15:39:21.695,1786174761.7815,6151.782,2026-08-08T15:40:39.738,1786174840.0715,6230.072,78.29,239.3,238.4,19.0,154.33,2
