order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
1,2026-08-09T13:31:31.311,1786253491.416,15657.416,2026-08-09T13:32:24.314,1786253544.4495,15710.45,53.034,249.8,168.6,,,2
2,2026-08-09T13:32:24.314,1786253544.4495,15710.45,2026-08-09T13:33:30.163,1786253610.253,15776.253,65.803,313.2,191.1,22.5,53.03,2
3,2026-08-09T13:33:30.163,1786253610.253,15776.253,2026-08-09T13:34:28.958,1786253669.0545,15835.055,58.802,271.7,204.6,13.5,65.8,2
4,2026-08-09T13:34:28.958,1786253669.0545,15835.055,2026-08-09T13:35:28.768,1786253728.888,15894.888,59.833,228.9,221.6,17.0,58.8,2
5,2026-08-09T13:35:28.768,1786253728.888,15894.888,2026-08-09T13:37:34.103,1786253854.215,16020.215,125.327,229.3,239.8,18.2,59.83,2
6,2026-08-09T13:37:34.103,1786253854.215,16020.215,2026-08-09T13:38:39.063,1786253919.176,16085.176,64.961,273.6,259.8,20.0,125.33,2
7,2026-08-09T13:38:39.063,1786253919.176,16085.176,2026-08-09T13:39:50.595,1786253990.6925,16156.693,71.516,243.7,279.2,19.4,64.96,2
8,2026-08-09T13:39:50.595,1786253990.6925,16156.693,2026-08-09T13:41:29.325,1786254089.4415,16255.441,98.749,275.8,297.9,18.7,71.52,4
9,2026-08-09T13:41:29.325,1786254089.4415,16255.441,2026-08-09T13:42:48.659,1786254169.1125,16335.112,79.671,251.5,317.9,20.0,98.75,2
10,2026-08-09T13:42:48.659,1786254169.1125,16335.112,2026-08-09T13:44:36.501,1786254276.6065,16442.606,107.494,290.3,335.2,17.3,79.67,3
11,2026-08-09T13:44:36.501,1786254276.6065,16442.606,2026-08-09T13:46:04.463,1786254364.654,16530.654,88.048,240.1,358.2,23.0,107.49,2
12,2026-08-09T13:46:04.463,1786254364.654,16530.654,2026-08-09T13:47:48.142,1786254468.4865,16634.487,103.832,269.4,377.5,19.3,88.05,2
13,2026-08-09T13:47:48.142,1786254468.4865,16634.487,2026-08-09T13:49:10.823,1786254550.9565,16716.957,82.47,495.1,397.0,19.5,103.83,3
14,2026-08-09T13:49:10.823,1786254550.9565,16716.957,2026-08-09T13:50:23.128,1786254623.615,16789.615,72.658,270.6,412.7,15.7,82.47,2
15,2026-08-09T13:50:23.128,1786254623.615,16789.615,2026-08-09T13:51:19.072,1786254679.1875,16845.188,55.572,299.4,430.7,18.0,72.66,4
16,2026-08-09T13:51:19.072,1786254679.1875,16845.188,2026-08-09T13:52:51.261,1786254771.354,16937.354,92.167,267.6,447.1,16.4,55.57,2
17,2026-08-09T13:52:51.261,1786254771.354,16937.354,2026-08-09T13:54:12.936,1786254853.07,17019.07,81.716,251.3,470.0,22.9,92.17,2
18,2026-08-09T13:54:12.936,1786254853.07,17019.07,2026-08-09T13:55:02.825,1786254902.93,17068.93,49.86,241.3,486.3,16.3,81.72,2
19,2026-08-09T13:55:02.825,1786254902.93,17068.93,2026-08-09T13:55:56.450,1786254956.555,17122.555,53.625,246.5,512.5,26.2,49.86,2
20,2026-08-09T13:55:56.450,1786254956.555,17122.555,2026-08-09T14:16:15.374,1786256175.5345,18341.534,1218.979,354.4,525.8,13.3,53.62,2
21,2026-08-09T14:16:15.374,1786256175.5345,18341.534,2026-08-09T14:22:41.923,1786256562.1325,18728.132,386.598,253.5,175.5,-350.3,1218.98,2
22,2026-08-09T14:22:41.923,1786256562.1325,18728.132,2026-08-09T14:30:13.068,1786257013.169,19179.169,451.036,430.8,174.8,-0.7,386.6,2
23,2026-08-09T14:30:13.068,1786257013.169,19179.169,2026-08-09T14:35:11.756,1786257311.932,19477.932,298.763,363.0,190.1,15.3,451.04,2
24,2026-08-09T14:35:11.756,1786257311.932,19477.932,2026-08-09T14:37:05.770,1786257426.108,19592.108,114.176,311.2,220.1,30.0,298.76,6
25,2026-08-09T14:37:05.770,1786257426.108,19592.108,2026-08-09T14:38:17.268,1786257497.3735,19663.374,71.266,272.7,245.2,25.1,114.18,3
26,2026-08-09T14:38:17.268,1786257497.3735,19663.374,2026-08-09T14:39:10.257,1786257550.4135,19716.414,53.04,304.0,261.4,16.2,71.27,2
27,2026-08-09T14:39:10.257,1786257550.4135,19716.414,2026-08-09T14:40:13.142,1786257613.2555,19779.256,62.842,235.5,281.2,19.8,53.04,2
28,2026-08-09T14:40:13.142,1786257613.2555,19779.256,2026-08-09T14:41:22.002,1786257682.137,19848.137,68.882,222.5,303.9,22.7,62.84,2
29,2026-08-09T14:41:22.002,1786257682.137,19848.137,2026-08-09T14:42:39.268,1786257759.3765,19925.376,77.239,247.7,313.9,10.0,68.88,2
30,2026-08-09T14:42:39.268,1786257759.3765,19925.376,2026-08-09T14:44:06.646,1786257846.75,20012.75,87.374,238.6,330.8,16.9,77.24,2
31,2026-08-09T14:44:06.646,1786257846.75,20012.75,2026-08-09T14:46:00.924,1786257961.3015,20127.302,114.552,242.6,356.9,26.1,87.37,2
32,2026-08-09T14:46:00.924,1786257961.3015,20127.302,2026-08-09T14:47:18.322,1786258038.427,20204.427,77.125,275.4,373.3,16.4,114.55,3
33,2026-08-09T14:47:18.322,1786258038.427,20204.427,2026-08-09T14:49:05.333,1786258145.4435,20311.444,107.016,255.3,393.7,20.4,77.13,2
34,2026-08-09T14:49:05.333,1786258145.4435,20311.444,2026-08-09T14:50:23.497,1786258223.851,20389.851,78.408,244.7,413.8,20.1,107.02,2
35,2026-08-09T14:50:23.497,1786258223.851,20389.851,2026-08-09T14:51:40.830,1786258300.976,20466.976,77.125,229.2,435.3,21.5,78.41,3
36,2026-08-09T14:51:40.830,1786258300.976,20466.976,2026-08-09T14:52:34.943,1786258355.0705,20521.07,54.094,221.9,457.7,22.4,77.12,2
37,2026-08-09T14:52:34.943,1786258355.0705,20521.07,2026-08-09T14:53:43.907,1786258424.023,20590.023,68.953,281.6,472.0,14.3,54.09,2
38,2026-08-09T14:53:43.907,1786258424.023,20590.023,2026-08-09T14:55:00.565,1786258500.6765,20666.677,76.654,311.9,487.7,15.7,68.95,2
39,2026-08-09T14:55:00.565,1786258500.6765,20666.677,2026-08-09T14:56:10.074,1786258570.1715,20736.171,69.495,268.8,503.4,15.7,76.65,2
40,2026-08-09T14:56:10.074,1786258570.1715,20736.171,2026-08-09T15:23:03.133,1786260183.305,22349.305,1613.134,270.7,525.7,22.3,69.49,2
41,2026-08-09T15:23:03.133,1786260183.305,22349.305,2026-08-09T15:31:42.696,1786260702.8115,22868.812,519.507,303.2,170.3,-355.4,1613.13,2
42,2026-08-09T15:31:42.696,1786260702.8115,22868.812,2026-08-09T15:35:28.456,1786260928.574,23094.574,225.762,249.7,186.3,16.0,519.51,2
43,2026-08-09T15:35:28.456,1786260928.574,23094.574,2026-08-09T15:38:36.621,1786261116.729,23282.729,188.155,261.1,206.4,20.1,225.76,2
44,2026-08-09T15:38:36.621,1786261116.729,23282.729,2026-08-09T15:40:54.380,1786261254.4855,23420.486,137.757,276.5,222.5,16.1,188.16,2
45,2026-08-09T15:40:54.380,1786261254.4855,23420.486,2026-08-09T15:42:46.018,1786261366.127,23532.127,111.641,246.6,241.6,19.1,137.76,2
46,2026-08-09T15:42:46.018,1786261366.127,23532.127,2026-08-09T15:46:37.011,1786261597.108,23763.108,230.981,250.1,260.7,19.1,111.64,2
47,2026-08-09T15:46:37.011,1786261597.108,23763.108,2026-08-09T15:48:15.503,1786261695.6135,23861.614,98.506,258.1,277.4,16.7,230.98,2
48,2026-08-09T15:48:15.503,1786261695.6135,23861.614,2026-08-09T15:50:02.674,1786261802.7835,23968.783,107.17,247.8,298.7,21.3,98.51,2
49,2026-08-09T15:50:02.674,1786261802.7835,23968.783,2026-08-09T15:52:42.545,1786261962.6645,24128.664,159.881,251.6,319.2,20.5,107.17,2
50,2026-08-09T15:52:42.545,1786261962.6645,24128.664,2026-08-09T15:54:24.299,1786262064.3995,24230.399,101.735,276.7,340.4,21.2,159.88,2
51,2026-08-09T15:54:24.299,1786262064.3995,24230.399,2026-08-09T15:56:20.909,1786262181.2085,24347.208,116.809,251.3,357.7,17.3,101.73,2
52,2026-08-09T15:56:20.909,1786262181.2085,24347.208,2026-08-09T15:58:43.310,1786262323.4225,24489.422,142.214,268.7,377.0,19.3,116.81,3
