order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
1,2026-08-10T18:16:10.427,1786356970.589,686.589,2026-08-10T18:16:13.076,1786356973.292,689.292,2.703,730.9,399.4,,,3
2,2026-08-10T18:16:13.076,1786356973.292,689.292,2026-08-10T18:22:35.821,1786357355.933,1071.933,382.641,82.6,60.1,-339.3,2.7,2
3,2026-08-10T18:22:35.821,1786357355.933,1071.933,2026-08-10T18:23:10.209,1786357390.3175,1106.318,34.385,961.0,174.1,114.0,382.64,2
4,2026-08-10T18:23:10.209,1786357390.3175,1106.318,2026-08-10T18:24:43.262,1786357483.3625,1199.362,93.045,822.0,192.6,18.5,34.38,2
5,2026-08-10T18:24:43.262,1786357483.3625,1199.362,2026-08-10T18:29:27.103,1786357767.2085,1483.208,283.846,888.6,207.0,14.4,93.04,2
6,2026-08-10T18:29:27.103,1786357767.2085,1483.208,2026-08-10T18:30:04.019,1786357804.1235,1520.124,36.915,1008.1,224.5,17.5,283.85,2
7,2026-08-10T18:30:04.019,1786357804.1235,1520.124,2026-08-10T18:31:44.362,1786357904.4705,1620.47,100.347,827.4,239.8,15.3,36.92,4
8,2026-08-10T18:31:44.362,1786357904.4705,1620.47,2026-08-10T18:36:51.918,1786358212.011,1928.011,307.54,863.5,126.0,-113.8,100.35,2
9,2026-08-10T18:36:51.918,1786358212.011,1928.011,2026-08-10T18:37:56.238,1786358276.336,1992.336,64.325,778.6,314.9,188.9,307.54,2
10,2026-08-10T18:37:56.238,1786358276.336,1992.336,2026-08-10T18:38:55.826,1786358335.931,2051.931,59.595,880.8,333.8,18.9,64.33,2
11,2026-08-10T18:38:55.826,1786358335.931,2051.931,2026-08-10T18:40:20.495,1786358420.6345,2136.635,84.704,551.7,351.0,17.2,59.6,2
12,2026-08-10T18:40:20.495,1786358420.6345,2136.635,2026-08-10T18:41:23.158,1786358483.2635,2199.263,62.629,740.7,372.7,21.7,84.7,2
13,2026-08-10T18:41:23.158,1786358483.2635,2199.263,2026-08-10T18:42:02.893,1786358522.9795,2238.98,39.716,885.1,393.8,21.1,62.63,2
14,2026-08-10T18:42:02.893,1786358522.9795,2238.98,2026-08-10T18:43:19.102,1786358599.204,2315.204,76.224,780.3,417.7,23.9,39.72,2
15,2026-08-10T18:43:19.102,1786358599.204,2315.204,2026-08-10T18:43:50.385,1786358630.4825,2346.483,31.279,711.8,431.6,13.9,76.22,2
16,2026-08-10T18:43:50.385,1786358630.4825,2346.483,2026-08-10T18:45:51.927,1786358752.039,2468.039,121.556,607.6,451.4,19.8,31.28,2
17,2026-08-10T18:45:51.927,1786358752.039,2468.039,2026-08-10T18:47:02.135,1786358822.2475,2538.247,70.208,779.1,476.1,24.7,121.56,4
18,2026-08-10T18:47:02.135,1786358822.2475,2538.247,2026-08-10T18:48:29.526,1786358909.6315,2625.632,87.384,868.9,489.0,12.9,70.21,2
19,2026-08-10T18:48:29.526,1786358909.6315,2625.632,2026-08-10T18:49:16.507,1786358956.6045,2672.605,46.973,849.4,491.0,2.0,87.38,2
20,2026-08-10T18:49:16.507,1786358956.6045,2672.605,2026-08-10T18:50:39.137,1786359039.2455,2755.246,82.641,1000.1,513.1,22.1,46.97,2
