order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
1,2026-08-18T09:39:43.570,1787017183.6715,164.671,2026-08-18T09:45:15.961,1787017516.058,497.058,332.387,312.0,161.8,,,2
2,2026-08-18T09:45:15.961,1787017516.058,497.058,2026-08-18T09:50:02.068,1787017802.177,783.177,286.119,301.0,158.8,-3.0,332.39,2
3,2026-08-18T09:50:02.068,1787017802.177,783.177,2026-08-18T09:52:58.404,1787017978.5145,959.514,176.337,390.7,187.0,28.2,286.12,2
4,2026-08-18T09:52:58.404,1787017978.5145,959.514,2026-08-18T09:57:32.881,1787018252.982,1233.982,274.468,436.4,200.1,13.1,176.34,2
5,2026-08-18T09:57:32.881,1787018252.982,1233.982,2026-08-18T09:59:17.655,1787018357.764,1338.764,104.782,330.9,221.9,21.8,274.47,2
6,2026-08-18T09:59:17.655,1787018357.764,1338.764,2026-08-18T10:01:45.120,1787018505.221,1486.221,147.457,371.4,245.8,23.9,104.78,2
7,2026-08-18T10:01:45.120,1787018505.221,1486.221,2026-08-18T10:02:25.941,1787018546.0535,1527.053,40.832,470.9,169.5,-76.3,147.46,2
8,2026-08-18T10:02:25.941,1787018546.0535,1527.053,2026-08-18T10:02:38.263,1787018558.372,1539.372,12.319,300.5,244.8,75.3,40.83,2
9,2026-08-18T10:02:38.263,1787018558.372,1539.372,2026-08-18T10:03:36.666,1787018616.7555,1597.756,58.384,480.7,172.4,-72.4,12.32,4
10,2026-08-18T10:03:36.666,1787018616.7555,1597.756,2026-08-18T10:04:18.651,1787018658.7445,1639.744,41.989,282.5,221.5,49.1,58.38,2
11,2026-08-18T10:04:18.651,1787018658.7445,1639.744,2026-08-18T10:05:15.890,1787018715.991,1696.991,57.247,307.7,245.9,24.4,41.99,2
12,2026-08-18T10:05:15.890,1787018715.991,1696.991,2026-08-18T10:07:59.147,1787018879.2825,1860.283,163.292,263.2,259.7,13.8,57.25,2
13,2026-08-18T10:07:59.147,1787018879.2825,1860.283,2026-08-18T10:09:33.677,1787018973.778,1954.778,94.496,409.6,281.8,22.1,163.29,2
14,2026-08-18T10:09:33.677,1787018973.778,1954.778,2026-08-18T10:11:52.682,1787019112.776,2093.776,138.998,256.0,294.5,12.7,94.5,2
15,2026-08-18T10:11:52.682,1787019112.776,2093.776,2026-08-18T10:12:17.501,1787019137.6125,2118.612,24.836,245.6,305.7,11.2,139.0,2
16,2026-08-18T10:12:17.501,1787019137.6125,2118.612,2026-08-18T10:13:55.667,1787019235.75,2216.75,98.138,286.2,316.1,10.4,24.84,2
17,2026-08-18T10:13:55.667,1787019235.75,2216.75,2026-08-18T10:18:14.486,1787019494.7035,2475.704,258.954,248.5,334.5,18.4,98.14,4
18,2026-08-18T10:18:14.486,1787019494.7035,2475.704,2026-08-18T10:24:03.790,1787019843.8905,2824.891,349.187,469.8,56.5,-278.0,258.95,2
19,2026-08-18T10:24:03.790,1787019843.8905,2824.891,2026-08-18T10:34:21.358,1787020461.449,3442.449,617.558,265.6,414.9,358.4,349.19,2
20,2026-08-18T10:34:21.358,1787020461.449,3442.449,2026-08-18T10:35:33.399,1787020533.5,3514.5,72.051,313.2,431.3,16.4,617.56,2
21,2026-08-18T10:35:33.399,1787020533.5,3514.5,2026-08-18T10:36:13.889,1787020573.9865,3554.987,40.487,314.6,455.6,24.3,72.05,8
22,2026-08-18T10:36:13.889,1787020573.9865,3554.987,2026-08-18T10:38:29.268,1787020709.3645,3690.365,135.378,272.9,467.6,12.0,40.49,4
23,2026-08-18T10:38:29.268,1787020709.3645,3690.365,2026-08-18T10:39:47.878,1787020787.9825,3768.983,78.618,255.4,485.2,17.6,135.38,2
24,2026-08-18T10:39:47.878,1787020787.9825,3768.983,2026-08-18T10:40:21.244,1787020821.342,3802.342,33.359,254.4,502.8,17.6,78.62,2
25,2026-08-18T10:40:21.244,1787020821.342,3802.342,2026-08-18T10:42:36.505,1787020956.595,3937.595,135.253,275.5,526.8,24.0,33.36,2
26,2026-08-18T10:42:36.505,1787020956.595,3937.595,2026-08-18T10:45:00.076,1787021100.1815,4081.181,143.586,273.3,166.9,-359.9,135.25,2
27,2026-08-18T10:45:00.076,1787021100.1815,4081.181,2026-08-18T10:46:41.782,1787021201.8785,4182.878,101.697,268.1,185.7,18.8,143.59,2
28,2026-08-18T10:46:41.782,1787021201.8785,4182.878,2026-08-18T10:46:55.298,1787021215.3945,4196.395,13.516,324.8,200.4,14.7,101.7,2
29,2026-08-18T10:46:55.298,1787021215.3945,4196.395,2026-08-18T10:48:56.668,1787021336.7735,4317.773,121.379,256.1,227.8,27.4,13.52,2
30,2026-08-18T10:48:56.668,1787021336.7735,4317.773,2026-08-18T10:49:41.053,1787021381.143,4362.143,44.369,246.2,238.0,10.2,121.38,2
31,2026-08-18T10:49:41.053,1787021381.143,4362.143,2026-08-18T10:50:09.284,1787021409.3955,4390.395,28.253,233.2,264.4,26.4,44.37,2
32,2026-08-18T10:50:09.284,1787021409.3955,4390.395,2026-08-18T10:50:44.947,1787021445.059,4426.059,35.664,225.9,277.8,13.4,28.25,2
33,2026-08-18T10:50:44.947,1787021445.059,4426.059,2026-08-18T10:50:56.287,1787021456.3875,4437.388,11.329,246.4,294.1,16.3,35.66,2
34,2026-08-18T10:50:56.287,1787021456.3875,4437.388,2026-08-18T10:51:59.969,1787021520.059,4501.059,63.671,246.5,304.9,10.8,11.33,4
35,2026-08-18T10:51:59.969,1787021520.059,4501.059,2026-08-18T10:53:09.102,1787021589.2035,4570.204,69.145,230.2,335.7,30.8,63.67,2
36,2026-08-18T10:53:09.102,1787021589.2035,4570.204,2026-08-18T10:54:44.223,1787021684.3205,4665.32,95.117,325.7,363.4,27.7,69.14,2
37,2026-08-18T10:54:44.223,1787021684.3205,4665.32,2026-08-18T10:55:33.458,1787021733.6895,4714.69,49.369,244.9,395.2,31.8,95.12,2
38,2026-08-18T10:55:33.458,1787021733.6895,4714.69,2026-08-18T10:56:07.162,1787021767.2535,4748.253,33.564,297.3,414.0,18.8,49.37,3
