event_id,participant,event_type,verified,notes,event_ts,duration_sec,distance_px,start_x,start_y,end_x,end_y,window_start,window_end,plot_path
313,260808_BBY_W_AI,annotation,,,2026-08-08 18:26:36.002,0.118,0.5,39.4,43.0,39.0,43.0,2026-08-08 18:26:26.002,2026-08-08 18:26:46.002,plots\260808_BBY_W_AI\event_0313.png
314,260808_BBY_W_AI,annotation,,,2026-08-08 18:26:38.801,0.125,0.8,523.2,175.5,523.9,175.9,2026-08-08 18:26:28.801,2026-08-08 18:26:48.801,plots\260808_BBY_W_AI\event_0314.png
315,260808_BBY_W_AI,annotation,,,2026-08-08 18:26:40.200,0.105,0.2,1333.9,183.4,1334.1,183.4,2026-08-08 18:26:30.200,2026-08-08 18:26:50.200,plots\260808_BBY_W_AI\event_0315.png
316,260808_BBY_W_AI,annotation,,,2026-08-08 18:30:40.680,0.111,0.5,91.6,208.7,91.2,208.7,2026-08-08 18:30:30.680,2026-08-08 18:30:50.680,plots\260808_BBY_W_AI\event_0316.png
317,260808_BBY_W_AI,annotation,,,2026-08-08 18:31:01.305,2.347,97.9,839.9,718.3,909.4,787.3,2026-08-08 18:30:51.305,2026-08-08 18:31:11.305,plots\260808_BBY_W_AI\event_0317.png
318,260808_BBY_W_AI,annotation,,,2026-08-08 18:31:26.669,1.394,83.0,871.4,721.6,930.3,780.1,2026-08-08 18:31:16.669,2026-08-08 18:31:36.669,plots\260808_BBY_W_AI\event_0318.png
319,260808_BBY_W_AI,annotation,,,2026-08-08 18:33:21.318,0.105,1.3,125.0,124.8,125.7,125.9,2026-08-08 18:33:11.318,2026-08-08 18:33:31.318,plots\260808_BBY_W_AI\event_0319.png
320,260808_BBY_W_AI,annotation,,,2026-08-08 18:33:38.996,1.118,113.4,714.8,670.1,793.4,751.8,2026-08-08 18:33:28.996,2026-08-08 18:33:48.996,plots\260808_BBY_W_AI\event_0320.png
321,260808_BBY_W_AI,annotation,,,2026-08-08 18:33:46.391,1.049,105.3,715.8,659.2,791.0,732.9,2026-08-08 18:33:36.391,2026-08-08 18:33:56.391,plots\260808_BBY_W_AI\event_0321.png
322,260808_BBY_W_AI,annotation,,,2026-08-08 18:34:06.559,2.316,116.4,867.8,584.9,968.3,643.7,2026-08-08 18:33:56.559,2026-08-08 18:34:16.559,plots\260808_BBY_W_AI\event_0322.png
