event_id,participant,event_type,event_ts,verified,notes
313,260808_BBY_W_AI,annotation,2026-08-08 18:26:36.002,bad,
314,260808_BBY_W_AI,annotation,2026-08-08 18:26:38.801,ok,
315,260808_BBY_W_AI,annotation,2026-08-08 18:26:40.200,nan,
316,260808_BBY_W_AI,annotation,2026-08-08 18:30:40.680,nan,
317,260808_BBY_W_AI,annotation,2026-08-08 18:31:01.305,nan,
318,260808_BBY_W_AI,annotation,2026-08-08 18:31:26.669,nan,
319,260808_BBY_W_AI,annotation,2026-08-08 18:33:21.318,nan,
320,260808_BBY_W_AI,annotation,2026-08-08 18:33:38.996,nan,
321,260808_BBY_W_AI,annotation,2026-08-08 18:33:46.391,nan,
322,260808_BBY_W_AI,annotation,2026-08-08 18:34:06.559,nan,
323,260808_BBY_W_AI,annotation,2026-08-08 18:34:17.223,nan,
324,260808_BBY_W_AI,annotation,2026-08-08 18:34:31.227,nan,
325,260808_BBY_W_AI,annotation,2026-08-08 18:34:39.319,nan,
326,260808_BBY_W_AI,annotation,2026-08-08 18:35:50.328,nan,
327,260808_BBY_W_AI,annotation,2026-08-08 18:36:02.145,nan,
328,260808_BBY_W_AI,annotation,2026-08-08 18:36:23.905,nan,
329,260808_BBY_W_AI,annotation,2026-08-08 18:36:32.063,nan,
330,260808_BBY_W_AI,annotation,2026-08-08 18:36:39.294,nan,
331,260808_BBY_W_AI,annotation,2026-08-08 18:37:09.998,nan,
332,260808_BBY_W_AI,annotation,2026-08-08 18:37:47.372,nan,
333,260808_BBY_W_AI,annotation,2026-08-08 18:38:04.492,nan,
334,260808_BBY_W_AI,annotation,2026-08-08 18:39:16.633,nan,
335,260808_BBY_W_AI,annotation,2026-08-08 18:40:51.649,nan,
336,260808_BBY_W_AI,annotation,2026-08-08 18:42:51.264,nan,
337,260808_BBY_W_AI,annotation,2026-08-08 18:46:42.481,nan,
338,260808_BBY_W_AI,annotation,2026-08-08 18:48:37.515,nan,
339,260808_BBY_W_AI,annotation,2026-08-08 18:53:24.074,nan,
340,260808_BBY_W_AI,annotation,2026-08-08 18:55:17.050,nan,
341,260808_BBY_W_AI,annotation,2026-08-08 18:55:18.735,nan,
342,260808_BBY_W_AI,annotation,2026-08-08 18:56:28.874,nan,
343,260808_BBY_W_AI,annotation,2026-08-08 18:56:32.759,nan,
344,260808_BBY_W_AI,annotation,2026-08-08 18:56:35.065,nan,
345,260808_BBY_W_AI,annotation,2026-08-08 18:56:35.902,nan,
346,260808_BBY_W_AI,annotation,2026-08-08 18:56:36.915,nan,
347,260808_BBY_W_AI,annotation,2026-08-08 18:56:37.388,nan,
348,260808_BBY_W_AI,annotation,2026-08-08 18:56:38.248,nan,
349,260808_BBY_W_AI,annotation,2026-08-08 18:56:40.283,nan,
350,260808_BBY_W_AI,annotation,2026-08-08 18:56:41.799,nan,
351,260808_BBY_W_AI,annotation,2026-08-08 18:56:42.407,nan,
352,260808_BBY_W_AI,annotation,2026-08-08 18:56:42.992,nan,
353,260808_BBY_W_AI,annotation,2026-08-08 18:56:43.710,nan,
354,260808_BBY_W_AI,annotation,2026-08-08 18:56:51.835,nan,
355,260808_BBY_W_AI,annotation,2026-08-08 18:56:52.848,nan,
356,260808_BBY_W_AI,annotation,2026-08-08 18:56:53.431,nan,
357,260808_BBY_W_AI,annotation,2026-08-08 18:56:53.924,nan,
358,260808_BBY_W_AI,annotation,2026-08-08 18:58:47.706,nan,
359,260808_BBY_W_AI,annotation,2026-08-08 18:58:48.863,nan,
360,260808_BBY_W_AI,annotation,2026-08-08 18:58:49.484,nan,
361,260808_BBY_W_AI,annotation,2026-08-08 18:58:50.032,nan,
362,260808_BBY_W_AI,annotation,2026-08-08 18:59:46.137,nan,
363,260808_BBY_W_AI,annotation,2026-08-08 18:59:46.838,nan,
364,260808_BBY_W_AI,annotation,2026-08-08 18:59:47.194,nan,
365,260808_BBY_W_AI,annotation,2026-08-08 19:00:15.506,nan,
366,260808_BBY_W_AI,annotation,2026-08-08 19:00:15.993,nan,
367,260808_BBY_W_AI,annotation,2026-08-08 19:00:16.586,nan,
368,260808_BBY_W_AI,annotation,2026-08-08 19:01:15.519,nan,
369,260808_BBY_W_AI,annotation,2026-08-08 19:01:16.175,nan,
370,260808_BBY_W_AI,annotation,2026-08-08 19:01:16.862,nan,
371,260808_BBY_W_AI,annotation,2026-08-08 19:01:17.254,nan,
372,260808_BBY_W_AI,annotation,2026-08-08 19:01:17.727,nan,
373,260808_BBY_W_AI,annotation,2026-08-08 19:01:18.431,nan,
374,260808_BBY_W_AI,annotation,2026-08-08 19:03:24.024,nan,
375,260808_BBY_W_AI,annotation,2026-08-08 19:03:25.077,nan,
376,260808_BBY_W_AI,annotation,2026-08-08 19:03:25.480,nan,
377,260808_BBY_W_AI,annotation,2026-08-08 19:03:55.696,nan,
378,260808_BBY_W_AI,annotation,2026-08-08 19:03:56.409,nan,
379,260808_BBY_W_AI,annotation,2026-08-08 19:03:56.802,nan,
380,260808_BBY_W_AI,annotation,2026-08-08 19:04:37.533,nan,
381,260808_BBY_W_AI,annotation,2026-08-08 19:04:38.687,nan,
382,260808_BBY_W_AI,annotation,2026-08-08 19:04:39.212,nan,
383,260808_BBY_W_AI,annotation,2026-08-08 19:04:39.745,nan,
384,260808_BBY_W_AI,annotation,2026-08-08 19:04:40.246,nan,
385,260808_BBY_W_AI,annotation,2026-08-08 19:06:41.735,nan,
386,260808_BBY_W_AI,annotation,2026-08-08 19:07:07.103,nan,
387,260808_BBY_W_AI,annotation,2026-08-08 19:07:08.020,nan,
388,260808_BBY_W_AI,annotation,2026-08-08 19:07:08.507,nan,
389,260808_BBY_W_AI,annotation,2026-08-08 19:07:09.077,nan,
390,260808_BBY_W_AI,annotation,2026-08-08 19:07:51.300,nan,
391,260808_BBY_W_AI,annotation,2026-08-08 19:07:51.711,nan,
392,260808_BBY_W_AI,annotation,2026-08-08 19:07:52.177,nan,
393,260808_BBY_W_AI,annotation,2026-08-08 19:08:58.236,nan,
394,260808_BBY_W_AI,annotation,2026-08-08 19:08:58.641,nan,
395,260808_BBY_W_AI,annotation,2026-08-08 19:08:59.070,nan,
396,260808_BBY_W_AI,annotation,2026-08-08 19:08:59.892,nan,
397,260808_BBY_W_AI,annotation,2026-08-08 19:11:06.724,nan,
398,260808_BBY_W_AI,annotation,2026-08-08 19:11:07.521,nan,
399,260808_BBY_W_AI,annotation,2026-08-08 19:11:07.933,nan,
400,260808_BBY_W_AI,annotation,2026-08-08 19:11:41.247,nan,
401,260808_BBY_W_AI,annotation,2026-08-08 19:11:42.132,nan,
402,260808_BBY_W_AI,annotation,2026-08-08 19:11:42.589,nan,
403,260808_BBY_W_AI,annotation,2026-08-08 19:13:14.689,nan,
404,260808_BBY_W_AI,annotation,2026-08-08 19:13:15.183,nan,
405,260808_BBY_W_AI,annotation,2026-08-08 19:13:16.197,nan,
406,260808_BBY_W_AI,annotation,2026-08-08 19:13:17.054,nan,
407,260808_BBY_W_AI,annotation,2026-08-08 19:13:17.880,nan,
408,260808_BBY_W_AI,annotation,2026-08-08 19:13:18.380,nan,
409,260808_BBY_W_AI,annotation,2026-08-08 19:13:18.837,nan,
410,260808_BBY_W_AI,annotation,2026-08-08 19:13:19.340,nan,
411,260808_BBY_W_AI,annotation,2026-08-08 19:13:47.688,nan,
412,260808_BBY_W_AI,annotation,2026-08-08 19:13:48.484,nan,
413,260808_BBY_W_AI,annotation,2026-08-08 19:13:48.971,nan,
414,260808_BBY_W_AI,annotation,2026-08-08 19:13:49.547,nan,
415,260808_BBY_W_AI,annotation,2026-08-08 19:15:35.325,nan,
416,260808_BBY_W_AI,annotation,2026-08-08 19:15:36.057,nan,
417,260808_BBY_W_AI,annotation,2026-08-08 19:15:36.474,nan,
418,260808_BBY_W_AI,annotation,2026-08-08 19:15:36.898,nan,
419,260808_BBY_W_AI,annotation,2026-08-08 19:16:46.191,nan,
420,260808_BBY_W_AI,annotation,2026-08-08 19:16:46.972,nan,
421,260808_BBY_W_AI,annotation,2026-08-08 19:16:47.398,nan,
422,260808_BBY_W_AI,annotation,2026-08-08 19:16:47.796,nan,
423,260808_BBY_W_AI,annotation,2026-08-08 19:18:00.409,nan,
424,260808_BBY_W_AI,annotation,2026-08-08 19:18:01.138,nan,
425,260808_BBY_W_AI,annotation,2026-08-08 19:18:01.821,nan,
426,260808_BBY_W_AI,annotation,2026-08-08 19:18:02.263,nan,
427,260808_BBY_W_AI,annotation,2026-08-08 19:18:02.980,nan,
428,260808_BBY_W_AI,annotation,2026-08-08 19:18:41.442,nan,
429,260808_BBY_W_AI,annotation,2026-08-08 19:18:42.053,nan,
430,260808_BBY_W_AI,annotation,2026-08-08 19:18:42.422,nan,
431,260808_BBY_W_AI,annotation,2026-08-08 19:21:52.245,nan,
